날짜,모기지수(수변부),모기지수(주거지),모기지수(공원)
2017-01-25,0.3,0.3,0.3
2017-01-26,0.3,0.3,0.3
2017-01-27,0.2,0.2,0.2
2017-01-28,0.3,0.3,0.3
2017-01-29,0.3,0.3,0.3
2017-01-30,0.4,0.4,0.4
2017-01-31,0.5,0.5,0.5
2017-02-01,0.6,0.6,0.6
2017-02-02,0.6,0.6,0.6
2017-02-03,0.6,0.6,0.6
2017-02-04,0.7,0.7,0.7
2017-02-05,0.9,0.9,0.9
2017-02-06,0.8,0.8,0.8
2017-02-07,1,1,1
2017-02-08,1.2,1.2,1.2
2017-02-09,1.2,1.2,1.2
2017-02-10,1.2,1.2,1.2
2017-02-11,0.8,0.8,0.8
2017-02-12,0.6,0.6,0.6
2017-02-13,0.6,0.6,0.6
2017-02-14,0.6,0.6,0.6
2017-02-15,0.7,0.7,0.7
2017-02-16,0.8,0.8,0.8
2017-02-17,1.1,1.1,1.1
2017-02-18,1.6,1.6,1.6
2017-02-19,1.7,1.7,1.7
2017-02-20,2,2,2
2017-02-21,1.9,1.9,1.9
2017-02-22,1.8,1.8,1.8
2017-02-23,1.7,1.7,1.7
2017-02-24,1.4,1.4,1.4
2017-02-25,1.2,1.2,1.2
2017-02-26,1.4,1.4,1.4
2017-02-27,1.6,1.6,1.6
2017-02-28,1.8,1.8,1.8
2017-03-01,2.3,2.3,2.3
2017-03-02,,,
2017-03-03,3.3,3.3,3.3
2017-03-04,4,4,4
2017-03-05,4.6,4.6,4.6
2017-03-06,5,5,5
2017-03-07,4.5,4.5,4.5
2017-03-08,3.6,3.6,3.6
2017-03-09,2.7,2.7,2.7
2017-03-10,2.7,2.7,2.7
2017-03-11,2.9,2.9,2.9
2017-03-12,3.2,3.2,3.2
2017-03-13,3.7,3.7,3.7
2017-03-14,4.6,4.6,4.6
2017-03-15,5.9,5.9,5.9
2017-03-16,7.8,7.8,7.8
2017-03-17,8.8,8.8,8.8
2017-03-18,9.6,9.6,9.6
2017-03-19,10.4,10.4,10.4
2017-03-20,10.5,10.5,10.5
2017-03-21,11.8,11.8,11.8
2017-03-22,12.8,12.8,12.8
2017-03-23,13.3,13.3,13.3
2017-03-24,14.7,14.7,14.7
2017-03-25,15.1,15.1,15.1
2017-03-26,14.2,14.2,14.2
2017-03-27,13.3,13.3,13.3
2017-03-28,11.4,11.4,11.4
2017-03-29,10.9,10.9,10.9
2017-03-30,11.3,11.3,11.3
2017-03-31,11.6,11.6,11.6
2017-04-01,11.8,11.8,11.8
2017-04-02,11.9,11.9,11.9
2017-04-03,12.1,12.1,12.1
2017-04-04,14.4,14.4,14.4
2017-04-05,18.4,18.4,18.4
2017-04-06,20.8,20.8,20.8
2017-04-07,21.5,21.5,21.5
2017-04-08,26.4,26.4,26.4
2017-04-09,31.8,31.8,31.8
2017-04-10,39.7,39.7,39.7
2017-04-11,48.9,48.9,48.9
2017-04-12,53.7,53.7,53.7
2017-04-13,54.1,54.1,54.1
2017-04-14,57.4,57.4,57.4
2017-04-15,56,56,56
2017-04-16,62.1,62.1,62.1
2017-04-17,67.3,67.3,67.3
2017-04-18,64.7,64.7,64.7
2017-04-19,56,56,56
2017-04-20,55.4,55.4,55.4
2017-04-21,59.2,59.2,59.2
2017-04-22,55.4,55.4,55.4
2017-04-23,51.4,51.4,51.4
2017-04-24,47.2,47.2,47.2
2017-04-25,45.5,45.5,45.5
2017-04-26,52.2,52.2,52.2
2017-04-27,58.6,58.6,58.6
2017-04-28,59.2,59.2,59.2
2017-04-29,65.4,65.4,65.4
2017-04-30,68.6,68.6,68.6
2017-05-01,,,
2017-05-01,65.3,65.3,65.3
2017-05-02,116.8,116.8,116.8
2017-05-03,106.7,106.7,106.7
2017-05-04,148.2,148.2,148.2
2017-05-05,204.7,204.7,204.7
2017-05-06,448.8,448.8,448.8
2017-05-07,517.2,517.2,517.2
2017-05-08,208.4,208.4,208.4
2017-05-09,701.8,701.8,701.8
2017-05-10,559.8,559.8,559.8
2017-05-11,217.2,217.2,217.2
2017-05-12,173.8,173.8,173.8
2017-05-13,125.2,125.2,125.2
2017-05-14,129.1,129.1,129.1
2017-05-15,110.1,110.1,110.1
2017-05-16,127.4,127.4,127.4
2017-05-17,158.1,158.1,158.1
2017-05-18,178.8,178.8,178.8
2017-05-19,169.9,169.9,169.9
2017-05-20,188.3,188.3,188.3
2017-05-21,205.7,205.7,205.7
2017-05-22,245.9,245.9,245.9
2017-05-23,406.9,406.9,406.9
2017-05-24,455.7,455.7,455.7
2017-05-25,467.4,467.4,467.4
2017-05-26,560.8,560.8,560.8
2017-05-27,248.1,248.1,248.1
2017-05-28,563.8,563.8,563.8
2017-05-29,829.1,829.1,829.1
2017-05-30,578.5,578.5,578.5
2017-05-31,450.6,450.6,450.6
2017-06-01,406.9,406.9,406.9
2017-06-01,406.9,406.9,406.9
2017-06-02,464.1,464.1,464.1
2017-06-03,516.5,516.5,516.5
2017-06-04,475.8,475.8,475.8
2017-06-05,627.8,627.8,627.8
2017-06-06,613,613,613
2017-06-07,531.3,531.3,531.3
2017-06-08,455.7,455.7,455.7
2017-06-09,487.6,487.6,487.6
2017-06-10,501.7,501.7,501.7
2017-06-11,422,422,422
2017-06-11,422,422,422
2017-06-12,381.7,381.7,381.7
2017-06-13,440.5,440.5,440.5
2017-06-14,464.1,464.1,464.1
2017-06-15,500.7,500.7,500.7
2017-06-16,489.3,489.3,489.3
2017-06-17,551,551,551
2017-06-18,566.7,566.7,566.7
2017-06-19,555.9,555.9,555.9
2017-06-20,679,679,679
2017-06-21,797.1,797.1,797.1
2017-06-22,961.5,961.5,961.5
2017-06-23,1000,1000,1000
2017-06-24,1000,1000,1000
2017-06-24,1000,1000,1000
2017-06-25,1000,1000,1000
2017-06-26,1000,1000,1000
2017-06-26,1000,1000,1000
2017-06-27,1000,1000,1000
2017-06-28,1000,1000,1000
2017-06-29,1000,1000,1000
2017-06-30,1000,1000,1000
2017-07-01,754.1,754.1,754.1
2017-07-02,756.3,756.3,756.3
2017-07-03,755.2,755.2,755.2
2017-07-04,794.9,794.9,794.9
2017-07-05,847.9,847.9,847.9
2017-07-06,855.6,855.6,855.6
2017-07-07,877.7,877.7,877.7
2017-07-08,882.1,882.1,882.1
2017-07-09,884.3,884.3,884.3
2017-07-10,928.4,928.4,928.4
2017-07-10,928.4,928.4,928.4
2017-07-11,921.8,921.8,921.8
2017-07-12,911.9,911.9,911.9
2017-07-13,909.7,909.7,909.7
2017-07-14,900.8,900.8,900.8
2017-07-15,935,935,935
2017-07-16,921.8,921.8,921.8
2017-07-17,919.6,919.6,919.6
2017-07-18,952.7,952.7,952.7
2017-07-19,976.9,976.9,976.9
2017-07-20,1000,1000,1000
2017-07-21,1000,1000,1000
2017-07-22,1000,1000,1000
2017-07-23,1000,1000,1000
2017-07-24,1000,1000,1000
2017-07-25,1000,1000,1000
2017-07-26,1000,1000,1000
2017-07-27,1000,1000,1000
2017-07-28,1000,1000,1000
2017-07-29,1000,1000,1000
2017-07-30,969.2,969.2,969.2
2017-07-31,994.6,994.6,994.6
2017-08-01,529.3,529.3,529.3
2017-08-02,518.5,518.5,518.5
2017-08-03,428.7,428.7,428.7
2017-08-04,423.7,423.7,423.7
2017-08-05,380,380,380
2017-08-05,380,380,380
2017-08-06,228,228,228
2017-08-07,210.1,210.1,210.1
2017-08-08,181.6,181.6,181.6
2017-08-09,209,209,209
2017-08-10,211.8,211.8,211.8
2017-08-11,231.4,231.4,231.4
2017-08-12,252.1,252.1,252.1
2017-08-13,317.7,317.7,317.7
2017-08-14,448.9,448.9,448.9
2017-08-15,554.9,554.9,554.9
2017-08-16,433.8,433.8,433.8
2017-08-17,472.5,472.5,472.5
2017-08-18,454,454,454
2017-08-19,455.7,455.7,455.7
2017-08-20,482.6,482.6,482.6
2017-08-21,513.5,513.5,513.5
2017-08-22,505.7,505.7,505.7
2017-08-23,443.9,443.9,443.9
2017-08-24,423.7,423.7,423.7
2017-08-27,541.1,541.1,541.1
2017-08-28,285.8,285.8,285.8
2017-08-29,227.5,227.5,227.5
2017-08-30,253.8,253.8,253.8
2017-08-31,204,204,204
2017-09-01,460.7,460.7,460.7
2017-09-01,460.7,460.7,460.7
2017-09-02,381.7,381.7,381.7
2017-09-03,455.7,455.7,455.7
2017-09-04,460.7,460.7,460.7
2017-09-05,497.7,497.7,497.7
2017-09-06,506.6,506.6,506.6
2017-09-07,509.6,509.6,509.6
2017-09-08,499.4,499.4,499.4
2017-09-09,507.6,507.6,507.6
2017-09-10,515.5,515.5,515.5
2017-09-11,489.3,489.3,489.3
2017-09-11,489.3,489.3,489.3
2017-09-12,443.9,443.9,443.9
2017-09-13,475.8,475.8,475.8
2017-09-14,494.3,494.3,494.3
2017-09-15,509.6,509.6,509.6
2017-09-15,509.6,509.6,509.6
2017-09-16,459,459,459
2017-09-17,450.6,450.6,450.6
2017-09-18,470.8,470.8,470.8
2017-09-19,477.5,477.5,477.5
2017-09-20,502.7,502.7,502.7
2017-09-21,500.7,500.7,500.7
2017-09-22,497.7,497.7,497.7
2017-09-23,383.3,383.3,383.3
2017-09-24,413.6,413.6,413.6
2017-09-25,415.3,415.3,415.3
2017-09-26,459,459,459
2017-09-27,491,491,491
2017-09-28,519.4,519.4,519.4
2017-09-28,519.4,519.4,519.4
2017-09-29,520.4,520.4,520.4
2017-09-30,656.4,656.4,656.4
2017-10-01,329.5,329.5,329.5
2017-10-02,277.4,277.4,277.4
2017-10-03,247,247,247
2017-10-04,221.9,221.9,221.9
2017-10-05,181.6,181.6,181.6
2017-10-06,177.2,177.2,177.2
2017-10-07,185.5,185.5,185.5
2017-10-08,185,185,185
2017-10-09,199,199,199
2017-10-10,207.9,207.9,207.9
2017-10-11,226.3,226.3,226.3
2017-10-12,341.3,341.3,341.3
2017-10-13,177.7,177.7,177.7
2017-10-14,86.6,86.6,86.6
2017-10-15,81.6,81.6,81.6
2017-10-16,74.3,74.3,74.3
2017-10-17,69.8,69.8,69.8
2017-10-18,66.5,66.5,66.5
2017-10-19,66.5,66.5,66.5
2017-10-20,69.8,69.8,69.8
2017-10-21,75.4,75.4,75.4
2017-10-22,115.1,115.1,115.1
2017-10-23,124,124,124
2017-10-24,97.2,97.2,97.2
2017-10-25,96.7,96.7,96.7
2017-10-26,95.5,95.5,95.5
2017-10-27,92.7,92.7,92.7
2017-10-28,92.7,92.7,92.7
2017-10-29,92.2,92.2,92.2
2017-10-30,54.2,54.2,54.2
2017-10-31,23.4,23.4,23.4
2017-11-01,5.5,5.5,5.5
2017-11-02,5.5,5.5,5.5
2017-11-03,5.5,5.5,5.5
2017-11-04,5.5,5.5,5.5
2017-11-05,5.5,5.5,5.5
2017-11-06,5.5,5.5,5.5
2017-11-07,5.5,5.5,5.5
2017-11-08,5.5,5.5,5.5
2017-11-09,5.5,5.5,5.5
2017-11-10,5.5,5.5,5.5
2017-11-11,5.5,5.5,5.5
2017-11-12,5.5,5.5,5.5
2017-11-13,5.5,5.5,5.5
2017-11-14,5.5,5.5,5.5
2017-11-15,5.5,5.5,5.5
2017-11-16,5.5,5.5,5.5
2017-11-17,5.5,5.5,5.5
2017-11-18,5.5,5.5,5.5
2017-11-19,5.5,5.5,5.5
2017-11-20,5.5,5.5,5.5
2017-11-21,5.5,5.5,5.5
2017-11-22,5.5,5.5,5.5
2017-11-23,5.5,5.5,5.5
2017-11-24,5.5,5.5,5.5
2017-11-26,5.5,5.5,5.5
2017-11-27,5.5,5.5,5.5
2017-11-28,5.5,5.5,5.5
2017-11-29,5.5,5.5,5.5
2017-11-30,5.5,5.5,5.5
2017-12-01,5.5,5.5,5.5
2017-12-02,5.5,5.5,5.5
2017-12-03,5.5,5.5,5.5
2017-12-03,5.5,5.5,5.5
2017-12-04,5.5,5.5,5.5
2017-12-05,5.5,5.5,5.5
2017-12-06,5.5,5.5,5.5
2017-12-07,5.5,5.5,5.5
2017-12-08,5.5,5.5,5.5
2017-12-09,5.5,5.5,5.5
2017-12-10,5.5,5.5,5.5
2017-12-11,5.5,5.5,5.5
2017-12-11,5.5,5.5,5.5
2017-12-12,5.5,5.5,5.5
2017-12-13,5.5,5.5,5.5
2017-12-14,5.5,5.5,5.5
2017-12-15,5.5,5.5,5.5
2017-12-16,5.5,5.5,5.5
2017-12-17,5.5,5.5,5.5
2017-12-18,5.5,5.5,5.5
2017-12-19,5.5,5.5,5.5
2017-12-20,5.5,5.5,5.5
2017-12-20,5.5,5.5,5.5
2017-12-21,5.5,5.5,5.5
2017-12-22,5.5,5.5,5.5
2017-12-23,5.5,5.5,5.5
2017-12-24,5.5,5.5,5.5
2017-12-25,5.5,5.5,5.5
2017-12-26,5.5,5.5,5.5
2017-12-27,5.5,5.5,5.5
2017-12-28,5.5,5.5,5.5
2017-12-29,5.5,5.5,5.5
2017-12-30,5.5,5.5,5.5
2017-12-31,5.5,5.5,5.5
2018-01-01,5.5,5.5,5.5
2018-01-02,5.5,5.5,5.5
2018-01-03,5.5,5.5,5.5
2018-01-04,5.5,5.5,5.5
2018-01-05,5.5,5.5,5.5
2018-01-06,5.5,5.5,5.5
2018-01-07,5.5,5.5,5.5
2018-01-08,5.5,5.5,5.5
2018-01-09,5.5,5.5,5.5
2018-01-10,5.5,5.5,5.5
2018-01-11,5.5,5.5,5.5
2018-01-12,5.5,5.5,5.5
2018-01-13,5.5,5.5,5.5
2018-01-14,5.5,5.5,5.5
2018-01-15,5.5,5.5,5.5
2018-01-16,5.5,5.5,5.5
2018-01-17,5.5,5.5,5.5
2018-01-18,5.5,5.5,5.5
2018-01-19,5.5,5.5,5.5
2018-01-20,5.5,5.5,5.5
2018-01-21,5.5,5.5,5.5
2018-01-22,5.5,5.5,5.5
2018-01-23,5.5,5.5,5.5
2018-01-24,5.5,5.5,5.5
2018-01-25,5.5,5.5,5.5
2018-01-26,5.5,5.5,5.5
2018-01-27,5.5,5.5,5.5
2018-01-28,5.5,5.5,5.5
2018-01-28,5.5,5.5,5.5
2018-01-29,5.5,5.5,5.5
2018-01-30,5.5,5.5,5.5
2018-01-31,5.5,5.5,5.5
2018-02-01,5.5,5.5,5.5
2018-02-02,5.5,5.5,5.5
2018-02-03,5.5,5.5,5.5
2018-02-04,5.5,5.5,5.5
2018-02-05,5.5,5.5,5.5
2018-02-06,5.5,5.5,5.5
2018-02-07,5.5,5.5,5.5
2018-02-08,5.5,5.5,5.5
2018-02-09,5.5,5.5,5.5
2018-02-09,5.5,5.5,5.5
2018-02-10,5.5,5.5,5.5
2018-02-10,5.5,5.5,5.5
2018-02-11,5.5,5.5,5.5
2018-02-12,5.5,5.5,5.5
2018-02-13,5.5,5.5,5.5
2018-02-14,5.5,5.5,5.5
2018-02-15,5.5,5.5,5.5
2018-02-16,5.5,5.5,5.5
2018-02-17,5.5,5.5,5.5
2018-02-18,5.5,5.5,5.5
2018-02-19,5.5,5.5,5.5
2018-02-20,5.5,5.5,5.5
2018-02-21,5.5,5.5,5.5
2018-02-22,5.5,5.5,5.5
2018-02-23,5.5,5.5,5.5
2018-02-23,5.5,5.5,5.5
2018-02-24,5.5,5.5,5.5
2018-02-25,5.5,5.5,5.5
2018-02-26,5.5,5.5,5.5
2018-02-27,5.5,5.5,5.5
2018-02-28,5.5,5.5,5.5
2018-03-01,5.5,5.5,5.5
2018-03-02,5.5,5.5,5.5
2018-03-03,5.5,5.5,5.5
2018-03-04,5.5,5.5,5.5
2018-03-05,5.5,5.5,5.5
2018-03-06,5.5,5.5,5.5
2018-03-07,5.5,5.5,5.5
2018-03-08,5.5,5.5,5.5
2018-03-09,5.5,5.5,5.5
2018-03-10,5.5,5.5,5.5
2018-03-11,5.5,5.5,5.5
2018-03-12,5.5,5.5,5.5
2018-03-13,5.5,5.5,5.5
2018-03-14,5.5,5.5,5.5
2018-03-15,5.5,5.5,5.5
2018-03-16,5.5,5.5,5.5
2018-03-17,5.5,5.5,5.5
2018-03-18,5.5,5.5,5.5
2018-03-19,5.5,5.5,5.5
2018-03-20,5.5,5.5,5.5
2018-03-21,5.5,5.5,5.5
2018-03-22,5.5,5.5,5.5
2018-03-23,5.5,5.5,5.5
2018-03-24,5.5,5.5,5.5
2018-03-25,5.5,5.5,5.5
2018-03-25,5.5,5.5,5.5
2018-03-26,5.5,5.5,5.5
2018-03-27,5.5,5.5,5.5
2018-03-28,5.5,5.5,5.5
2018-03-29,5.5,5.5,5.5
2018-03-30,5.5,5.5,5.5
2018-03-31,5.5,5.5,5.5
2018-04-01,10,10,10
2018-04-02,17.8,17.8,17.8
2018-04-03,87.7,87.7,87.7
2018-04-04,109.5,109.5,109.5
2018-04-05,62,62,62
2018-04-06,10.6,10.6,10.6
2018-04-07,1.6,1.6,1.6
2018-04-08,1.6,1.6,1.6
2018-04-09,1.6,1.6,1.6
2018-04-10,0.5,0.5,0.5
2018-04-11,1.1,1.1,1.1
2018-04-12,1.1,1.1,1.1
2018-04-13,0.5,0.5,0.5
2018-04-14,0.5,0.5,0.5
2018-04-15,0.5,0.5,0.5
2018-04-16,0.5,0.5,0.5
2018-04-17,20.6,20.6,20.6
2018-04-18,20.1,20.1,20.1
2018-04-19,18.4,18.4,18.4
2018-04-20,17.8,17.8,17.8
2018-04-21,19.5,19.5,19.5
2018-04-22,20.1,20.1,20.1
2018-04-23,16.7,16.7,16.7
2018-04-24,19,19,19
2018-04-25,24,24,24
2018-04-26,45.2,45.2,45.2
2018-04-27,41.9,41.9,41.9
2018-04-28,32.9,32.9,32.9
2018-04-29,25.7,25.7,25.7
2018-04-30,25.1,25.1,25.1
2018-05-01,24,24,24
2018-05-02,50.3,50.3,50.3
2018-05-03,73.7,73.7,73.7
2018-05-04,13.4,13.4,13.4
2018-05-05,19.5,19.5,19.5
2018-05-06,32.4,32.4,32.4
2018-05-07,30.7,30.7,30.7
2018-05-08,24,24,24
2018-05-09,17.3,17.3,17.3
2018-05-10,15,15,15
2018-05-11,77.1,77.1,77.1
2018-05-12,135.8,135.8,135.8
2018-05-13,93.3,93.3,93.3
